Exploitation of vulnerabilities to gain unauthorized access.
Duration: 0.19, SrcBytes: 13304.00, DstBytes: 268.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 529100.00, DLoad: 9432.42, SPkts: 18.00, DPkts: 6.00, TCP RTT: 0.06, SYNACK: 0.01, ACKDAT: 0.05 indicates Exploits attack.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Exploits attack.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Exploits attack.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Exploits attack.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Exploits attack.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates  Fuzzers  attack.
Duration: 1.59, SrcBytes: 2858.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 13615.21, DLoad: 0.00, SPkts: 18.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates  Fuzzers  attack.
Duration: 0.00, SrcBytes: 2982.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 1325333248.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates  Fuzzers  attack.
Duration: 0.00, SrcBytes: 2008.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 892444416.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates  Fuzzers  attack.
Duration: 0.00, SrcBytes: 2166.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 866400000.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates  Fuzzers  attack.
Unauthorized backdoor access to systems.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Backdoor attack.
Duration: 1.59, SrcBytes: 2858.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 13615.21, DLoad: 0.00, SPkts: 18.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Backdoor attack.
Duration: 0.28, SrcBytes: 548.00, DstBytes: 382.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 13904.72, DLoad: 9429.32, SPkts: 10.00, DPkts: 8.00, TCP RTT: 0.05, SYNACK: 0.01, ACKDAT: 0.05 indicates Backdoor attack.
Duration: 9.84, SrcBytes: 10880.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 8627.63, DLoad: 0.00, SPkts: 40.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Backdoor attack.
Duration: 0.53, SrcBytes: 1432.00, DstBytes: 1552.00, SrcTTL: 62.00, DstTTL: 252.00, SLoad: 19993.84, DLoad: 21391.90, SPkts: 14.00, DPkts: 12.00, TCP RTT: 0.06, SYNACK: 0.01, ACKDAT: 0.05 indicates Backdoor attack.
Denial of Service attacks targeting availability.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates DoS attack.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates DoS attack.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates DoS attack.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates DoS attack.
Duration: 0.20, SrcBytes: 790.00, DstBytes: 268.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 28687.00, DLoad: 9037.82, SPkts: 10.00, DPkts: 6.00, TCP RTT: 0.05, SYNACK: 0.01, ACKDAT: 0.05 indicates DoS attack.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Generic attack.
Duration: 0.00, SrcBytes: 1376.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 550400000.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Generic attack.
Duration: 0.00, SrcBytes: 1354.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 541600000.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates Generic attack.
Duration: 0.24, SrcBytes: 1112.00, DstBytes: 26344.00, SrcTTL: 62.00, DstTTL: 252.00, SLoad: 33334.56, DLoad: 825095.69, SPkts: 12.00, DPkts: 24.00, TCP RTT: 0.05, SYNACK: 0.01, ACKDAT: 0.05 indicates Generic attack.
Duration: 0.68, SrcBytes: 1984.00, DstBytes: 67738.00, SrcTTL: 62.00, DstTTL: 252.00, SLoad: 21892.91, DLoad: 777712.25, SPkts: 18.00, DPkts: 58.00, TCP RTT: 0.10, SYNACK: 0.05, ACKDAT: 0.05 indicates Generic attack.
Duration: 0.00, SrcBytes: 440.00, DstBytes: 0.00, SrcTTL: 254.00, DstTTL: 0.00, SLoad: 195555552.00, DLoad: 0.00, SPkts: 2.00, DPkts: 0.00, TCP RTT: 0.00, SYNACK: 0.00, ACKDAT: 0.00 indicates  Reconnaissance  attack.
Duration: 0.64, SrcBytes: 564.00, DstBytes: 354.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 6368.46, DLoad: 3886.26, SPkts: 10.00, DPkts: 8.00, TCP RTT: 0.04, SYNACK: 0.01, ACKDAT: 0.02 indicates  Reconnaissance  attack.
Duration: 0.64, SrcBytes: 564.00, DstBytes: 354.00, SrcTTL: 254.00, DstTTL: 252.00, SLoad: 6342.38, DLoad: 3870.35, SPkts: 10.00, DPkts: 8.00, TCP RTT: 0.06, SYNACK: 0.02, ACKDAT: 0.05 indicates  Reconnaissance  attack.
